@WordPOS	Ag,Bg,Dg,Mg,Ng,Rg,Tg,Vg,Yg,a,ad,an,b,c,d,e,f,h,i,j,k,l,m,n,nr,ns,nt,nx,nz,o,p,q,r,s,t,u,v,vd,vn,w,y,z,
一语中的	l:4,
一语惊人	i:3,
一语破的	l:1,
一语道破	i:8,
一误再误	i:1,
一诺千金	i:2,
一诺重千金	l:2,
一败涂地	i:4,
一贫如洗	i:5,
一贯	v:1,d:168,b:75,a:1,
一贯制	n:4,l:4,
一贯性	n:4,
一走了之	l:6,
一起	d:417,s:1013,
一超	j:3,
一趟趟	m:3,
一跃	v:2,
一跃而起	l:1,
一路	d:3,n:1,m:135,
一路上	l:11,
一路顺风	i:9,
一路风尘	l:4,
一蹴而就	i:16,
一蹶不振	i:3,
一身	n:44,m:1,
一身正气	l:19,
一车车	m:6,
一转眼	d:1,
一轻	j:4,
一轻局	j:2,
一辆辆	m:18,
一辈子	m:93,
一辈辈	m:3,
一边	f:72,d:292,
一边倒	v:10,l:1,
一连	d:45,n:1,
一连串	n:1,l:22,
一通百通	i:1,
一遍遍	m:5,
一道	d:215,s:1,
一道道	m:28,
一部	n:1,
一部分	m:380,
一部部	m:3,
一醉方休	l:1,
一针	j:1,
一针一线	i:3,
一针见血	i:18,
一钱不值	i:5,
一锅煮	v:1,
一锅端	l:1,
一锅粥	l:1,
一锤定音	i:10,
一锤锤	m:1,
一长串	m:1,
一门心思	l:16,
一门门	m:2,
一闪而过	l:1,
一问三不知	l:1,
一间间	m:3,
一队队	m:4,
一阵	m:145,
一阵儿	m:1,
一阵子	m:20,
一阵阵	m:32,
一阵风	l:16,
一院制	n:1,j:2,
一隅	n:20,
一面	f:32,d:81,n:32,m:1,
一面面	m:10,
一页页	m:9,
一顶顶	m:2,
一项	m:2,
一项项	m:12,
一颗耗子屎坏了一锅汤	l:1,
一颗颗	m:18,
一颦一笑	l:2,
一飞冲天	i:4,
一饱口福	l:1,
一饱眼福	l:8,
一首首	m:8,
一马平川	i:3,
一马当先	i:8,
一骨碌	d:2,
一高	j:1,
一高一低	j:1,
一鳞半爪	i:1,
一鸣	nz:1,
一鸣惊人	i:10,
一鼓作气	i:8,
一鼓足气	l:1,
一鼻子灰	i:2,
一齐	d:39,m:1,
丁	Mg:2,nr:7,Ng:5,o:2,Vg:2,
丁·布雷姆	nr:1,
丁一	nr:2,
丁丁	nr:11,o:1,
丁丁冬冬	o:2,
丁丁当当	o:1,
丁丑	t:2,
丁丑年	t:1,
丁世铉	nr:7,
丁东	nr:1,
丁中智	nr:3,
丁临一	nr:1,
丁乃今	nr:2,
丁乡	nr:1,
丁二烯	n:1,
丁亚平	nr:1,
丁亥年	t:1,
丁人林	nr:2,
丁仁贵	nr:2,
丁伟	nr:16,
丁传贤	nr:1,
丁佩玲	nr:1,
丁俊发	nr:1,
丁俊杰	nr:1,
丁保藻	nr:2,
丁元伟于池	nr:1,
丁兆乾	nr:1,
丁光训	nr:17,
丁关根	nr:132,
丁关根吴邦国	nr:1,
丁关根李铁映	nr:2,
丁关根贾庆林	nr:1,
丁关根邹家华	nr:1,
丁典	nr:3,
丁军	nr:2,
丁军保	nr:1,
丁冬	nr:1,o:4,
丁冬红何建华	nr:1,
丁凤英	nr:2,
丁凯	nr:1,
丁刚	nr:48,
丁力	nr:3,
丁力华	nr:3,
丁力辛	nr:1,
丁勇岱	nr:1,
丁午寿	nr:1,
丁吉甫	nr:1,
丁向阳	nr:3,
丁品余	nr:1,
丁四嫂	nr:1,
丁国庆	nr:1,
丁图	nr:2,
丁在新范成君	nr:1,
丁坚铭	nr:18,
丁坚铭李建兴	nr:1,
丁基橡胶	n:1,
丁士匡	nr:1,
丁大康殷桂芹	nr:1,
丁大康雷素云	nr:1,
丁天松	nr:1,
丁奇	nr:2,
丁威特	nz:1,
丁威特公司	nt:1,
丁子	nr:1,
丁字堤	n:1,
丁宇	nr:1,
丁守和	nr:1,
丁安庆	nr:4,
丁宗皓	nr:1,
丁宝华	nr:1,
丁宝忠	nr:27,
丁家	nz:1,
丁家山	ns:1,
丁家村	ns:2,
丁导	nr:1,
丁寿岳	nr:1,
丁寿缶	nr:1,
丁尚明	nr:2,
丁川	nr:1,
丁巴什罗	nr:1,
丁广治	nr:1,
丁康元	nr:1,
丁廷模	nr:2,
丁建华	nr:3,
丁建思	nr:6,
丁开明	nr:1,
丁当	o:5,
丁德云	nr:1,
丁德文	nr:2,
丁志忠	nr:2,
丁忠平	nr:1,
丁惠敏	nr:1,
丁慨然	nr:1,
丁懋萱	nr:1,
丁振海	nr:2,
丁敦令	nr:1,
丁文政	nr:2,
丁明伟	nr:1,
丁是丁	i:3,
丁是丁卯是卯	i:3,
丁显宝	nr:1,
丁晓华	nr:1,
丁晓莲	nr:1,
丁松	nr:17,
丁某	nr:7,
丁正全	nr:1,
丁步头	ns:1,
丁波	nr:10,
丁波张书泽	nr:1,
丁波范欣欣	nr:1,
丁波赵连庆	nr:1,
丁波陈冀	nr:1,
丁泽生	nr:1,
丁点儿	q:3,
丁玉才	nr:1,
丁玉珍	nr:7,
丁玲	nr:2,
丁瑜	nr:1,
丁璇	nr:1,
丁目	n:1,
丁石孙	nr:53,
丁秀林	nr:1,
丁秋英	nr:1,
丁科·沙基奇	nr:1,
丁科·萨基克	nr:1,
丁红萍	nr:2,
丁纯	nr:1,
丁美媛	nr:1,
丁翠萍	nr:3,
丁聪	nr:16,
丁肇中	nr:5,
丁胺卡那霉素	n:1,
丁芒	nr:1,
丁苯吡	n:1,
丁苯橡胶	n:1,
丁荫楠	nr:4,
丁衍庸	nr:1,
丁衡高	nr:2,
丁解民	nr:3,
丁言仪	nr:1,
丁贵明	nr:2,
丁超	nr:2,
丁达仁	nr:1,
丁达珍	nr:4,
丁逸	nr:1,
丁采瑛	nr:1,
丁里	nr:2,
丁金村	ns:1,
丁鉴海	nr:4,
丁鑫发	nr:1,
丁铭	nr:1,
丁锡国	nr:3,
丁锡国张瑞永	nr:1,
丁雪松	nr:1,
丁零声	n:1,
丁霄霖	nr:1,
丁韬	nr:1,
丁颖	nr:4,
丁香	n:3,
丁香花	n:1,
丁黑	nr:1,
七	m:637,
七·七	t:2,
七○	m:1,
七一	t:18,m:2,
七一九	m:1,
七一五	m:1,
七七	t:5,m:4,
七七七	m:1,
七七事变	nz:5,
七七式	n:1,
七万	m:14,
七万九千	m:1,
七万四千七百七十二亿	m:1,
七三	m:2,
七三一	m:3,
七个泉	ns:1,
七中	j:1,
七九年	t:2,
七二年	t:2,
七五	m:25,j:3,
七人	n:1,
七人制	n:15,nz:2,
七亿	m:3,
七伯	n:1,
七侠五义	nz:1,
七保	nr:7,
七八	m:62,
七八万	m:2,
七八亿	m:1,
七八十	m:12,
七八十万	m:1,
七八千	m:6,
七八年	t:3,
七八成	m:2,
七八月	t:2,
七八月份	t:1,
七八点	t:1,
七八点钟	t:3,
七八百	m:6,
七八百亿	m:1,
七六年	t:1,
七匹狼	nz:2,
七十	m:101,
七十一	m:4,
七十一亿	m:1,
七十一点一亿	m:1,
七十一点四亿	m:1,
七十七	m:3,
七十七万	m:1,
七十万	m:5,
七十三	m:6,
七十三点八	m:1,
七十九	m:15,
七十九万	m:2,
七十二	m:26,
七十二万	m:1,
七十二行	l:2,
七十五	m:5,
七十五万	m:1,
七十五亿	m:1,
七十亿	m:2,
七十八	m:4,
七十六	m:8,
七十六万亿	m:1,
七十六点九六亿	m:1,
七十几	m:1,
七十四	m:5,
七千	m:14,
七千七百万	m:1,
七千万	m:2,
七千三百	m:2,
七千二百	m:1,
七千二百四十	m:1,
七千五百	m:2,
七千五百万	m:2,
七千五百四十四	m:1,
七千八百万	m:1,
七千八百五十万	m:1,
七千六百	m:1,
七千六百万	m:1,
七嘴八舌	i:6,
七四	m:1,
七国集团	l:19,
七坊镇	ns:1,
七大	j:19,
七大姑	n:1,
七大姑八大姨	l:1,
七妈	n:2,
七姑八姨	l:1,
七建	j:1,
七彩	n:5,
七彩帆	n:1,
七彩花	n:1,
七彩虹	n:1,
七彩鸟	n:1,
七彩龟	n:1,
七律	n:4,
七手八脚	i:1,
七拐八弯	l:1,
七日	t:43,
七旬	n:1,m:15,
七时	t:3,
七星	ns:1,
七星人	n:1,
七星杯	nz:2,
七星河	ns:18,
七星泡	nz:3,
七星泡农场	ns:2,
七星草	n:1,
七星街	ns:2,
七星街市场	ns:2,
七星鱼	n:1,
七月	t:54,
七月份	t:1,
七机部	n:1,j:5,
七机部二十六所	nt:1,
七机部二院	nt:1,
七机部二院生产组	nt:1,
七沟八梁	l:1,
七溪岭	ns:1,
七点	t:2,
七点三	m:2,
七点三亿	m:1,
七点九九万	m:1,
七点二一三	m:1,
七点五	m:2,
七点五亿	m:1,
七点八	m:1,
七点八亿	m:1,
七甲路	ns:1,
七百	ns:13,m:16,
七百七十七	m:1,
七百万	m:2,
七百三十	m:1,
七百三十一	m:1,
七百三十二	m:1,
七百九十三	m:1,
七百乡	ns:4,
七百二十一	m:1,
七百二十九万	m:1,
七百五十	m:1,
七百五十五	m:1,
七百五十四	m:1,
七百亿	m:2,
七百八十	m:1,
七百八十二亿	m:1,
七百八十八亿	m:1,
七百六十	m:1,
七百六十二	m:1,
七百四十五	m:1,
七百四十六亿	m:1,
七窍	n:1,
七窍生烟	i:1,
七级	b:1,
七纵八横	l:1,
七绝	n:4,
七老八十	l:1,
七色光	nz:2,
七色花	nz:2,
七言	n:1,nz:1,
七运会	j:1,
七连冠	j:2,
七都镇	ns:1,
七里塔	ns:1,
七里塔村	ns:1,
七里岗村	ns:1,
七里河	ns:1,
七零八碎	i:2,
七零八落	i:3,
万	d:5,nr:2,Ng:1,m:2273,j:1,
万·努	nr:7,
万·玛他	nr:1,
万·穆罕默德·努·玛他	nr:3,
万一	d:19,c:7,
万万	d:18,nr:1,m:2,
万丈深渊	l:3,
万丈高楼平地起	i:1,
万三蹄	n:1,
万世永存	l:1,
万东	nz:2,
万东医疗	nt:2,
万乐佳	nz:1,
万乔娃	nr:1,
万事	n:12,
万事俱备	i:5,
万事利	nz:4,
万事发	nz:1,
万事吉	nz:6,
万事吉商城	ns:4,
万事大吉	i:9,
万事如意	i:7,
万事开头难	l:4,
万事达	nz:1,
万事达卡	nz:1,
万事通	n:1,l:2,
万事顺	nz:2,
万云	nr:1,
万人空巷	i:5,
万亿	m:4,
万仕平	nr:1,
万仙楼	n:1,
万代	m:1,
万代好	nz:1,
万众	n:11,
万众一心	l:3,i:4,
万众瞩目	l:5,
万传宦	nr:1,
万佛	nz:1,
万佛华侨陵园	ns:1,
万佛塔	ns:1,
万儿八千	m:1,
万元	q:4,
万元户	n:6,
万元郎	n:1,
万克	nr:1,
万全	ns:1,
万全县	ns:1,
万兴	nr:3,
万兴泉	nr:1,
万分	d:24,m:3,
万分之一	m:3,
万分之三	m:1,
万分之二	m:2,
万分之几	m:1,
万利云	nr:1,
万利达	nz:3,
万劫不复	i:1,
万劫不渝	i:1,
万千	m:23,
万博	ns:1,nz:3,
万博省	ns:2,
万博绿色科技发展有限公司	nt:2,
万历	t:1,nz:2,
万历斯	nr:1,
万县	ns:6,
万县市	ns:2,
万发林	n:1,
万变不离其宗	i:3,
万古	n:7,
万古常青	i:2,
万古流芳	i:1,
万古留芳	i:1,
万古留辉	l:1,
万古长青	l:1,i:1,
万名盈	nr:1,
万向	nz:11,
万向节	n:1,
万向集团	nt:5,
万向集团董事局	nt:2,
万吨级	b:9,n:5,
万和	nz:1,
万和镇	ns:1,
万嗣铨	nr:1,
万嘱咐	l:1,
万国	b:10,nz:4,
万国宫	ns:2,n:4,
万国忠	nr:1,
万国权	nr:79,
万国森	nr:1,
万国邮展联盟	nt:1,
万国邮政联盟	nt:1,
万国邮政联盟国际局	nt:1,
万国邮联	j:8,
万国邮联包裹协会	nt:1,
万圣	nz:1,
万均农	nr:1,
万埠镇	ns:2,
万基	nz:2,
万塞纳	nz:1,
万塞纳森林	ns:1,
万头攒动	l:1,
万季飞	nr:1,
万学远	nr:2,
万宁	ns:3,
万宁城	ns:1,
万宁市	ns:1,
万宁市礼纪镇太阳村党支部	nt:1,
万安	ns:4,
万安县	ns:3,
万安县五丰镇党委	nt:1,
万安县人	n:1,
万安县委宣传部	nt:1,
万安培	nr:1,
万安渡	ns:2,
万安渡石桥	ns:2,
万宝	nz:8,
万宝公司	nt:5,
万宝国	nr:1,
万宝山	ns:1,
万宝瑞	nr:10,
万宝路	nz:15,
万宝路全国足球甲Ａ联赛	nz:11,
万宝路１９９８年全国足球甲级队Ａ组联赛	nz:1,
万宝镇	ns:2,
万客隆	nz:2,
万家乐	nz:12,
万家乐燃气具有限公司	nt:1,
万家寨	ns:9,
万家寨水利枢纽工程	nz:1,
万家寨牌	nz:1,
万家年	nr:1,
万家得	nz:1,
万家灯火	i:8,
万富	nr:2,
万寿寺	ns:3,
万寿路	ns:1,
万小英	nr:2,
万山	ns:3,
万山千（山弄）	l:1,
万山岛	ns:1,
万山红	nr:5,
万山群岛	ns:2,
万山Ａ	nz:1,
万岁	v:1,n:15,
万岭	n:1,
万岭不思游	i:1,
万帅	nr:1,
万年	m:3,
万年县	ns:1,
万年松	n:1,
万幸	v:1,
万应灵丹	l:1,
万座毛	nz:2,
万座毛风景区	ns:1,
万建辉	nr:1,
万彤	nr:1,
万德莱	nz:21,
万德莱公司	nt:6,
万德莱无绳电话机	nz:1,
万念俱灰	i:3,
万恶	n:3,
万惠	nz:2,
万惠商场	ns:2,
万成	nz:1,
万成食品有限公司	nt:1,
万户侯	n:1,
万户千家	i:1,
万斤户	n:3,
万斯	nr:6,
万方	nr:2,nz:8,
万方数据奖学金	nz:4,
万方数据集团公司	nt:2,
万无一失	i:28,
万明东	nr:1,
万春波	nr:3,
万景台区	ns:1,
万有引力	n:2,
万木争翠	l:1,
万木成林	l:1,
万本太	nr:1,
万杰	nz:1,
万杰集团	nt:1,
万架次率	n:1,
万桂香	nr:1,
万欣	ns:1,
万民	n:8,
万水千山	i:5,
万永祥	nr:4,
万泉河	ns:2,
万洲	ns:1,
万洲５号	nz:3,
万洲６号	nz:1,
万溪	nr:1,
万溪冲	ns:1,
万灯耀园	l:1,
万燕	nz:2,
万物	n:21,
万珊珊	nr:1,
万盛	ns:3,
万盛区	ns:1,
万盛火车站	ns:2,
万石岩	nz:1,
万石岩植物园	ns:1,
万福	nz:1,
万福成	nz:8,
万福成缸房	nt:2,
万福永	nz:1,
万福泉	nz:1,
万福街	ns:1,
万秀斌	nr:2,
万端	m:1,
万籁俱寂	i:4,
万紫千红	i:7,
万紫千红春满园	l:1,
万红强	nr:1,
万绍芬	nr:3,
万经常	nr:7,
万维网	n:2,
万绿丛中	l:1,
万绿园	ns:2,
万绿湖	ns:13,
万胜	nz:1,
万胜剧场	ns:1,
万能	b:20,
万能论	n:1,
万舍村	ns:1,
万般	d:7,
万般无奈	i:7,
万良适	nr:1,
万花山	ns:9,
万花筒	n:4,
万荣花	nr:1,
万语千言	i:1,
万象	ns:6,n:8,nz:6,
万象新	l:1,
万象更新	i:7,
万象牌	nz:1,
万象纷呈	l:1,
万象集团	nt:2,
万象集团公司	nt:1,
万贯家财	i:1,
万载县	ns:7,
万达	nt:1,ns:1,nr:1,nz:66,
万达商厦	ns:1,
万达队	nt:125,
万进庆	nr:1,
万迪	nz:1,
万选蓉	nr:2,
万通	nz:3,
万通公司	nt:1,
万鄂湘	nr:1,
万里	nr:19,
万里无云	l:2,
万里芳	nr:1,
万里迢迢	l:1,
万里长城	ns:15,n:2,
万里长征	i:3,
万里鹏	nr:1,
万金	n:6,
万金油	n:2,
万锦滩	n:1,
万隆	ns:10,nr:2,
万隆会议	nz:5,
万隆技术研究会	nt:1,
万难不却	i:1,
万震山	nr:2,
万顷	q:1,
万顺	nz:3,
万顺电器行	nt:2,
万顺电器行磁带经销门市部	nt:1,
万顺路	ns:1,
万颂绿叻差	nz:1,
万马齐喑	i:1,
万鲁立	nr:1,
万鹤	n:1,
万鼓催春	l:1,
万龙君	nr:1,
万（县）	ns:1,
丈	q:17,
丈二和尚摸不着头脑	l:3,
丈夫	n:286,
丈母娘	n:2,
丈量	v:2,
三	b:1,m:6823,
三·一五	m:3,
三·一八	t:1,
三○九	m:1,
三一	m:1,
三一五	m:9,
三丁锡	n:1,
三七	n:1,
三七节	t:1,
三万	m:33,
三万一千七百五十二亿	m:1,
三万一千三百八十五	m:1,
三万两千	m:1,
三万四千八百亿	m:1,
三万零二百二十	m:1,
三三	m:4,
三三○三	m:1,
三三一	m:1,
三三三	m:1,
三三两两	i:20,
三三五五	m:1,
三三制	n:6,j:3,
三三四	m:1,
三下五除二	l:1,
三不	j:10,
三不主义	j:1,
三不做	j:2,
三不准	j:2,
三不变	j:2,
三不用	j:1,
三业	j:1,
三两	m:8,
三两千	m:1,
三两百	m:1,
三严	j:2,
三严四自	j:2,
三个一	j:2,
三个之最	j:1,
三个指头捏田螺	l:1,
三中	j:4,
三中全会	j:276,
三丰	nz:2,
三为主	j:4,
三主一支持	j:1,
三义墓	ns:2,
三义庙	ns:1,
三乙醇胺	n:1,
三九	t:10,nz:8,m:1,
三九企业集团	nt:1,
三九天	t:3,
三九集团	nt:6,
三乱	j:50,
三二	m:1,
三二○	m:1,
三二四	m:1,
三二四医院	nt:1,
三二联防	l:1,
三五	m:40,
三五○九	m:1,
三五三六	m:1,
三五九旅	nt:3,
三五九旅七一九团政治处	nt:1,
三五八	m:1,
三五八旅直属队政治处	nt:1,
三五十	m:4,
三五十万	m:1,
三五成群	l:11,
三五百	m:1,
三井	nz:1,
三亚	ns:31,
三亚凤凰机场	ns:1,
三亚市	ns:18,
三亚市人民政府	nt:1,
三亚市海洋局	nt:1,
三亚市物价局	nt:1,
三亚市羊栏镇回辉村党支部	nt:1,
三亚机场	ns:1,
三亚热带珊瑚礁自然保护区	ns:1,
三亚珊瑚礁保护区	ns:1,
三亚珊瑚礁自然保护区	ns:1,
三产	j:36,
三产型	n:1,
三亿	m:9,
三亿二千万	m:1,
三从一大	j:1,
三从四德	i:1,
三仙姑	n:1,
三仙村	ns:1,
三仙湖镇	ns:2,
三令五申	i:21,
三伏	t:1,
三伏天	t:2,
三优	j:16,
三伯	n:1,
三位一体	l:34,
三低	j:1,
三保地	j:1,
三倍体	n:1,
三元	b:1,nz:5,j:1,
三元企业集团	nt:1,
三元公司	nt:3,
三元朱村	ns:1,
三元朱村团支部	nt:1,
三元杂交	l:1,
三元桥	n:1,
三元里	ns:2,
三元里抗英	nz:1,
三元镇	ns:1,
三元食品有限公司	nt:1,
三光	j:2,
三光政策	nz:1,
三八	t:47,m:2,nz:2,
三八六	m:1,
三八国际劳动妇女节	nz:4,
三八节	t:1,
三公	j:2,
三公开	j:5,
三六七	m:2,
三六九	m:2,
三六九等	l:4,
三六八	m:1,
三关	nz:2,
三养	j:2,
三军	n:8,
三军医大	j:1,
三军团	n:3,
三军思奋	l:2,
三农	nz:1,
三冠	nz:1,
三几	m:1,
三分之一	m:22,
三分之二	m:7,
三分制	n:1,
三分王	n:1,
三分球	n:32,
三利	nz:4,
三利国际有限公司	nt:1,
三利国际服装公司	nt:1,
三利毛纺集团	nt:1,
三利集团	nt:1,
三制	j:19,
三制一体	j:1,
三剑客	n:6,
三力	nz:2,j:2,
三力集团	nt:1,
三加大	j:1,
三包	j:23,
三化	j:1,
三北	j:15,
三十	m:220,
三十一	m:18,
三十一万零五百七十	m:1,
三十一日	t:33,
三十一点八万	m:1,
三十七	m:11,
三十七万	m:2,
三十七分	t:2,
三十万	m:29,
三十万零三千五百一十九	m:1,
三十三	m:10,
三十三万	m:1,
三十三亿	m:1,
三十三分	t:1,
三十三点二万	m:1,
三十九	m:10,
三十九万	m:1,
三十九亿	m:1,
三十九点五	m:1,
三十二	m:25,
三十二万	m:1,
三十二亿	m:1,
三十二分三十	m:1,
三十二分三十九	m:1,
三十二分三十二	m:1,
三十五	m:36,
三十五万	m:7,
三十五亿	m:1,
三十五分	t:1,
三十亿	m:5,
三十八	m:16,
三十八九	m:1,
三十八亿	m:1,
三十八军宣传队	nt:1,
三十八分	t:1,
三十六	m:33,
三十六万	m:2,
三十六亿	m:1,
三十六点九亿	m:1,
三十几	m:6,
三十分	t:7,
三十四	m:18,
三十日	t:53,
三千	m:77,
三千一百	m:1,
三千一百二十五	m:1,
三千一百八十	m:1,
三千七百	m:1,
三千七百七十八	m:1,
三千七百三十三	m:1,
三千七百三十五	m:1,
三千七百零二	m:1,
三千万	m:11,
三千三百零五	m:1,
三千九百	m:1,
三千九百三十二点零二	m:1,
三千二百	m:3,
三千二百一十	m:1,
三千二百五十一亿	m:1,
三千二百五十亿	m:1,
三千五百	m:6,
三千五百一十	m:1,
三千五百万	m:1,
三千五百六十	m:1,
三千亿	m:2,
三千八百	m:3,
三千八百一十九点一四亿	m:1,
三千八百万	m:1,
三千八百八十万	m:1,
三千六百	m:2,
三千六百七十一	m:2,
三千四百万	m:1,
三千四百二十五	m:1,
三千四百五十六	m:1,
三千四百八十二	m:1,
三千零九十三	m:1,
三千零五十	m:1,
三协精机	n:1,
三单	j:1,
三博	nr:7,
三危	ns:1,
三危山	ns:1,
三原	ns:6,
三原县	ns:2,
三又四分之三	m:1,
三叉神经痛	n:2,
三友	nz:2,
三反	j:1,
三反五反	j:1,
三变	j:1,
三叠纪	t:1,
三可	nr:1,
三台县	ns:1,
三台山	ns:3,
三台山乡	ns:3,
三台村	ns:7,
三叶	nz:10,
三叶人	n:2,
三叶公司	nt:2,
三叶形虫	n:1,
三合一	v:1,l:2,vn:1,
三合堡村	ns:1,
三同	j:3,
三吐	n:1,
三味	n:1,nz:1,
三味书屋	nt:1,
三和	nz:8,
三和银行	nt:6,
三品	j:1,
三四	m:59,
三四万	m:3,
三四十	m:24,
三四十万	m:3,
三四千	m:7,
三四千万	m:1,
三四季度	t:1,
三四月	t:2,
三四月份	t:2,
三四点钟	t:2,
三四百	m:6,
三四百万	m:1,
三国	t:12,nz:9,
三国志	n:2,nz:7,
三国演义	nz:22,
三圣庙村	ns:1,
三圣桥	ns:1,
三坊七巷	nz:2,
三城	j:1,
三基	j:1,
三塑	nz:1,
三塑集团	nt:1,
三塔	ns:3,
三塔集镇	ns:1,
三塘	ns:8,
三塘乡	ns:5,
三塘乡酱厂	nt:2,
三塘村	ns:1,
三塘湖	ns:1,
三塘酱厂	nt:5,
三塚	nr:4,
三塚博	nr:2,
三墩营村	ns:1,
三声	j:1,
三夏	t:12,j:3,
三大	j:4,
三大战役	nz:10,
三天三夜	l:3,
三天两头	l:9,
三好	j:14,
三好生	j:2,
三委	j:2,
三子	n:2,
三字	j:1,
三字一话	j:2,
三字经	n:7,
三孝口	ns:1,
三季度	t:1,
三学	j:5,
三宅一生	nr:1,
三官庙	ns:1,
三官庙矿	nt:1,
三定	j:19,
三宝	nr:1,n:4,
三实	nz:1,
三审	b:1,
三审制	j:3,
三室一厅	n:2,
三寸不烂之舌	l:1,
三将军墓	ns:1,
三小	j:2,
三尸神	n:1,
三居室	n:2,
三山	nz:3,
三岔口	ns:1,n:1,nz:1,
三岔路	ns:2,
三岔路口	s:1,
三岔路村	ns:3,
三峡	ns:322,
三峡人	n:1,
三峡地区	ns:6,
三峡坝区	ns:2,
三峡大坝	nz:4,
三峡工程	nz:92,
三峡库区	ns:25,
三峡建委会	nt:1,
三峡开发总公司	nt:1,
三峡急救中心	nt:1,
三峡总公司	nt:3,
三峡水利	nt:2,
三峡水利枢纽工程	nz:3,
三峡水库	nz:3,
三峡水电站	nt:1,
三峡游	n:7,
三崎町	ns:1,
三带	j:1,
三带走	j:1,
三年期	b:28,
三庄乡	ns:1,
三废	n:4,j:5,
三座大山	l:7,
三座门	ns:2,
三建	j:2,
三开门	b:1,
三强	j:1,
三彩	n:1,
三德	j:2,
三德坊	ns:1,
三志	j:1,
三怕	j:3,
三思	v:1,
三思而后行	i:3,
三性	j:4,
三总部	j:25,
三愿	j:3,
三懂	j:1,
三房巷	ns:1,
三手	b:1,
三抗	nz:1,
三挂钩	j:1,
三提五统	j:2,
三提高	j:2,
三插溪	ns:1,
三插溪电站	nt:1,
三撑峡	ns:2,
三改	j:4,
三改一加强	j:7,
三放一联	j:1,
三效	nz:1,
三教	j:2,
三教九流	i:2,
三教堂	ns:1,
三文鱼	n:2,nz:1,
三方	n:1,
三无	j:4,
三日	t:58,
三旱	j:1,
三时	t:1,
三明	ns:1,
三明市	ns:3,
三明市公交公司	nt:1,
三明治	n:3,nz:1,
三明路	ns:1,
三星	n:8,nz:28,
三星村	ns:4,
三星电子	nt:2,
三星电子公司	nt:3,
三星电子维修中心	nt:2,
三星石化	nt:1,
三星级	b:7,
三星队	nt:8,
三星集团	nt:2,
三昧	n:3,
三晋	j:7,
三替	nz:3,
三月	t:256,
三月份	t:6,
三有	j:1,
三有三超	j:1,
三期	b:2,j:1,
三木	nr:3,nz:2,
三木淳大	nr:1,
三木集团	nt:2,
三朵节	nz:1,
三机	j:1,
三机局	j:1,
三机部	j:6,
三机部○一三基地	nt:1,
三机部第一局	nt:1,
三来一补	l:7,
三板	n:1,
三板斧	n:1,
三极管	n:1,
三枪	nz:1,
三查三找	j:1,
三核一派	j:1,
三案	j:1,
三桥	ns:9,
三桥村	ns:7,
三棉	j:5,
三棵树	ns:1,
三步一踏	n:1,
三步并作两步	l:1,
三段论式	b:1,
三毛	nr:33,nz:11,
三毛大厦	ns:2,
三毛派神	nt:1,
三毛牌	nz:2,
三毛集团	nt:2,
三民主义	n:5,
三氯甲烷	n:2,
三水市	ns:1,
三汇镇	ns:1,
三江	ns:5,nz:2,j:1,
三江侗族自治县	ns:1,
三江平原	ns:2,
三江瓦力特特种车辆有限公司	nt:1,
三江队	nt:2,
三河	ns:3,nz:2,j:2,
三河尖	ns:1,
三河市	ns:5,
三河杜和羊绒时装有限公司	nt:1,
三河电厂	nt:1,
三沿	j:1,
三法	j:1,
三洋	nz:5,
三洋证券公司	nt:1,
三洞桥	ns:6,
三流	b:3,
三消	j:1,
三清山	ns:6,
三清殿	ns:1,
三湖	j:3,
三湘	j:2,
三湘四水	j:1,
三湾	ns:1,
三溪口镇	ns:1,
三滤	n:1,
三滩乡	ns:1,
三点一	m:1,
三点一万	m:1,
三点七二亿	m:1,
三点三万	m:2,
三点二万	m:1,
三点二三亿	m:1,
三点五	m:2,
三点五万	m:1,
三点五亿	m:1,
三点八	m:1,
三点八七万	m:1,
三点八万	m:1,
三点八六	m:1,
三点六	m:1,
三点六四亿	m:1,
三点四二	m:1,
三点四亿	m:1,
三点钟	t:1,
三热	j:1,
三热爱	j:3,
三爱	nz:1,
