@WordPOS	Ag,Bg,Dg,FREQTWO,Mg,Ng,Rg,Tg,Vg,Yg,a,ad,an,b,c,d,e,f,h,i,j,k,l,m,n,nr,ns,nt,nx,nz,o,p,q,r,s,t,u,v,vd,vn,w,y,z,
一转眼	d:1,
一轻	j:4,
一轻局	j:2,
一辆辆	m:16,
一辈子	m:90,
一辈辈	m:3,
一边	d:276,f:71,
一边倒	v:9,l:1,
一达	nr:2,
一连	d:43,n:1,
一连串	l:21,n:1,
一通百通	i:1,
一遍遍	m:5,
一道	s:1,d:203,nr:1,
一道道	m:27,
一部	n:1,
一部分	m:360,
一部部	m:2,
一醉方休	l:1,
一针	j:1,
一针一线	i:3,
一针见血	i:18,
一钱不值	i:5,
一铮	nr:1,
一锅煮	v:1,
一锅端	l:1,
一锅粥	l:1,
一锤定音	i:8,
一锤锤	m:1,
一长串	m:1,
一门心思	l:16,
一门门	m:2,
一闪而过	l:1,
一问三不知	l:1,
一间间	m:3,
一队队	m:4,
一阵	m:136,
一阵儿	m:1,
一阵子	m:19,
一阵阵	m:31,
一阵风	l:15,
一院制	j:2,
一隅	n:19,
一面	d:75,f:32,m:1,n:28,
一面面	m:10,
一页页	m:9,
一顶顶	m:2,
一项	m:2,
一项项	m:12,
一颗耗子屎坏了一锅汤	l:1,
一颗颗	m:17,
一颦一笑	l:1,
一飞	nr:10,
一飞冲天	i:4,
一饱口福	l:1,
一饱眼福	l:8,
一首首	m:6,
一马平川	i:3,
一马当先	i:7,
一骨碌	d:2,
一高	j:1,
一高一低	j:1,
一鳞半爪	i:1,
一鸣	nr:2,nz:1,
一鸣惊人	i:10,
一鼓作气	i:8,
一鼓足气	l:1,
一鼻子灰	i:2,
一齐	d:38,m:1,
一龙	nr:1,
丁	nr:567,Ng:5,Mg:2,o:2,
丁·布雷姆	nr:1,
丁丁	nr:16,o:1,
丁丁冬冬	o:2,
丁丁当当	o:1,
丁丑	t:2,
丁丑年	t:1,
丁二烯	n:1,
丁亥年	t:1,
丁伟	nr:1,
丁冬	o:4,
丁华	nr:22,
丁基橡胶	n:1,
丁奇	nr:2,
丁威特	nz:1,
丁字堤	n:1,
丁家	nz:1,
丁家山	ns:1,
丁家村	ns:2,
丁导	nr:1,
丁巴什罗	nr:1,
丁当	o:5,
丁是丁	i:3,
丁某	nr:7,
丁根	nr:17,
丁步头	ns:1,
丁点儿	q:3,
丁目	n:1,
丁科·沙基奇	nr:1,
丁科·萨基克	nr:1,
丁胺卡那霉素	n:1,
丁苯吡	n:1,
丁苯橡胶	n:1,
丁远	nr:3,
丁金村	ns:1,
丁零声	n:1,
丁香	n:3,
丁香花	n:1,
七	m:598,
七·七	t:2,
七○	m:1,
七一	t:16,m:2,
七一九	m:1,
七一五	m:1,
七七	t:5,m:4,
七七七	m:1,
七七事变	nz:1,
七七式	n:1,
七万	m:13,
七万九千	m:1,
七万四千七百七十二亿	m:1,
七三	m:2,
七个泉	ns:1,
七中	j:1,
七九年	t:1,
七二年	t:1,
七五	j:3,m:24,
七人	n:1,
七人制	nz:2,n:15,
七亿	m:3,
七伯	n:1,
七侠五义	nz:1,
七保	nr:18,
七八	m:59,
七八万	m:2,
七八亿	m:1,
七八十	m:12,
七八十万	m:1,
七八千	m:6,
七八年	t:1,
七八成	m:2,
七八月	t:2,
七八月份	t:1,
七八点	t:1,
七八点钟	t:2,
七八百	m:6,
七八百亿	m:1,
七六年	t:1,
七匹狼	nz:1,
七十	m:101,
七十一	m:4,
七十一亿	m:1,
七十一点一亿	m:1,
七十一点四亿	m:1,
七十七	m:3,
七十七万	m:1,
七十万	m:5,
七十三	m:6,
七十三点八	m:1,
七十九	m:15,
七十九万	m:2,
七十二	m:25,
七十二行	l:2,
七十五	m:5,
七十五万	m:1,
七十五亿	m:1,
七十亿	m:2,
七十八	m:4,
七十六	m:6,
七十六万亿	m:1,
七十六点九六亿	m:1,
七十几	m:1,
七十四	m:5,
七千	m:12,
七千七百万	m:1,
七千万	m:2,
七千三百	m:1,
七千二百	m:1,
七千二百四十	m:1,
七千五百	m:2,
七千五百万	m:2,
七千五百四十四	m:1,
七千八百万	m:1,
七千八百五十万	m:1,
七千六百	m:1,
七千六百万	m:1,
七嘴八舌	i:5,
七四	m:1,
七国集团	l:18,
七坊镇	ns:1,
七大	j:19,
七大姑	n:1,
七大姑八大姨	l:1,
七妈	n:2,
七姑八姨	l:1,
七建	j:1,
七彩	n:5,
七彩帆	n:1,
七彩花	n:1,
七彩虹	n:1,
七彩鸟	n:1,
七彩龟	n:1,
七律	n:4,
七手八脚	i:1,
七拐八弯	l:1,
七日	t:42,
七旬	m:13,n:1,
七时	t:3,
七星	ns:1,
七星人	n:1,
七星杯	nz:2,
七星河	ns:18,
七星泡	nz:2,
七星草	n:1,
七星街	ns:2,
七星鱼	n:1,
七月	t:50,
七月份	t:1,
七机部	j:5,n:1,
七沟八梁	l:1,
七溪岭	ns:1,
七点	t:2,
七点三	m:2,
七点三亿	m:1,
七点九九万	m:1,
七点二一三	m:1,
七点五	m:1,
七点五亿	m:1,
七点八	m:1,
七点八亿	m:1,
七甲路	ns:1,
七百	ns:12,m:16,
七百七十七	m:1,
七百万	m:1,
七百三十	m:1,
七百三十一	m:1,
七百三十二	m:1,
七百九十三	m:1,
七百乡	ns:4,
七百二十一	m:1,
七百二十九万	m:1,
七百五十	m:1,
七百五十五	m:1,
七百五十四	m:1,
七百亿	m:2,
七百八十	m:1,
七百八十二亿	m:1,
七百八十八亿	m:1,
七百六十	m:1,
七百六十二	m:1,
七百四十五	m:1,
七百四十六亿	m:1,
七窍	n:1,
七窍生烟	i:1,
七级	b:1,
七纵八横	l:1,
七绝	n:4,
七老八十	l:1,
七色光	nz:2,
七色花	nz:2,
七虎	nr:1,
七言	nz:1,n:1,
七运会	j:1,
七连冠	j:2,
七都镇	ns:1,
七里塔	ns:1,
七里塔村	ns:1,
七里岗村	ns:1,
七零八碎	i:2,
七零八落	i:3,
万	nr:178,d:5,Ng:1,j:1,m:2154,
万·努	nr:7,
万·玛他	nr:1,
万·穆罕默德·努·玛他	nr:3,
万一	c:7,d:18,
万万	nr:1,d:17,m:1,
万丈深渊	l:3,
万丈高楼平地起	i:1,
万三蹄	n:1,
万世永存	l:1,
万东	nz:1,
万义	nr:9,
万乐佳	nz:1,
万事	n:12,
万事俱备	i:4,
万事利	nz:4,
万事发	nz:1,
万事吉	nz:6,
万事大吉	i:9,
万事如意	i:6,
万事开头难	l:4,
万事达	nz:1,
万事通	l:2,n:1,
万事顺	nz:2,
万云	nr:1,
万亨	nr:1,
万人空巷	i:4,
万亿	m:4,
万仙楼	n:1,
万代	m:1,
万令	nr:4,
万众	n:11,
万众一心	i:4,l:3,
万众瞩目	l:5,
万佛	nz:1,
万佛塔	ns:1,
万儿八千	m:1,
万元	q:4,nr:1,
万元户	n:6,
万元郎	n:1,
万克	nr:1,
万全	nr:1,ns:1,
万全县	ns:1,
万兴	nr:1,
万兵	nr:1,
万军	nr:6,
万分	d:21,m:3,
万分之一	m:2,
万分之三	m:1,
万分之二	m:2,
万分之几	m:1,
万初	nr:1,
万利达	nz:3,
万劫不复	i:1,
万劫不渝	i:1,
万千	m:23,
万升	nr:1,
万华	nr:4,
万博	ns:1,nz:3,
万博省	ns:2,
万历	t:1,nz:2,
万历斯	nr:1,
万县	ns:5,
万县市	ns:1,
万友	nr:2,
万发林	n:1,
万变不离其宗	i:3,
万古	n:7,
万古常青	i:2,
万古流芳	i:1,
万古留芳	i:1,
万古留辉	l:1,
万古长青	i:1,l:1,
万叶	nr:1,
万向	nz:11,
万向节	n:1,
万吨级	b:7,n:5,
万和	nr:1,nz:1,
万和镇	ns:1,
万嘱咐	l:1,
万国	b:8,nz:4,
万国宫	ns:2,n:3,
万国邮联	j:8,
万圣	nz:1,
万坡	nr:1,
万埠镇	ns:2,
万基	nz:2,
万塞纳	nz:1,
万头攒动	l:1,
万学	nr:1,
万宁	ns:2,
万宁城	ns:1,
万宁市	ns:1,
万安	ns:4,
万安县	ns:3,
万安县人	n:1,
万安渡	ns:1,
万宝	nz:8,
万宝路	nz:13,
万宝镇	ns:2,
万客隆	nz:2,
万家乐	nz:12,
万家寨	ns:9,
万家寨牌	nz:1,
万家得	nz:1,
万家灯火	i:8,
万宾	nr:1,
万富	nr:2,
万寿寺	ns:3,
万寿路	ns:1,
万山	ns:3,
万山千（山弄）	l:1,
万山岛	ns:1,
万山Ａ	nz:1,
万岁	v:1,n:14,
万岭	nr:3,n:1,
万岭不思游	i:1,
万帅	nr:1,
万年	nr:90,m:3,
万年县	ns:1,
万年松	n:1,
万幸	v:1,
万庆	nr:1,
万应灵丹	l:1,
万座毛	nz:2,
万弋	nr:1,
万德	nr:4,
万德莱	nz:21,
万志	nr:2,
万念俱灰	i:3,
万恶	n:3,
万惠	nz:1,
万成	nr:1,nz:1,
万户侯	n:1,
万户千家	i:1,
万才	nr:4,
万斤户	n:3,
万斯	nr:6,
万新	nr:1,
万方	nz:8,
万无一失	i:27,
万昆	nr:1,
万明	nr:1,
万春	nr:13,
万景台区	ns:1,
万有引力	n:2,
万木争翠	l:1,
万木成林	l:1,
万杰	nz:1,
万林	nr:1,
万架次率	n:1,
万欣	nr:2,ns:1,
万民	nr:1,n:8,
万水千山	i:5,
万泉河	ns:2,
万波	nr:5,
万洲５号	nz:3,
万洲６号	nz:1,
万海	nr:3,
万清	nr:1,
万溪冲	ns:1,
万灯耀园	l:1,
万燮	nr:2,
万物	n:21,
万琦	nr:1,
万盛	ns:3,
万盛区	ns:1,
万石岩	nz:1,
万祥	nr:2,
万祺	nr:51,
万禄	nr:1,
万福	nz:1,
万福成	nz:8,
万福永	nz:1,
万福泉	nz:1,
万福街	ns:1,
万端	m:1,
万籁俱寂	i:4,
万紫千红	i:5,
万紫千红春满园	l:1,
万维网	n:2,
万绿丛中	l:1,
万绿园	ns:2,
万绿湖	ns:13,
万翠	nr:3,
万胜	nz:1,
万能	b:20,
万能论	n:1,
万舍村	ns:1,
万般	d:7,
万般无奈	i:6,
万花山	ns:9,
万花筒	n:2,
万英	nr:1,
万语千言	i:1,
万象	ns:6,nz:6,n:8,
万象新	l:1,
万象更新	i:7,
万象牌	nz:1,
万象纷呈	l:1,
万财	nr:1,
万贯家财	i:1,
万贵	nr:1,
万赋	nr:1,
万载县	ns:6,
万达	ns:1,nt:1,nz:60,
万达队	nt:116,
万迪	nz:1,
万通	nr:37,nz:3,
万道	nr:1,
万里	nr:2,
万里无云	l:2,
万里迢迢	l:1,
万里长城	ns:14,n:2,
万里长征	i:3,
万金	nr:1,n:5,
万金油	n:2,
万钧	nr:7,
万锦滩	n:1,
万长	nr:1,
万隆	nr:1,ns:10,
万难不却	i:1,
万顷	q:1,
万顺	nz:3,
万顺路	ns:1,
万颂绿叻差	nz:1,
万马齐喑	i:1,
万鲁立	nr:1,
万鹏	nr:17,
万鹤	n:1,
万鼓催春	l:1,
万（县）	ns:1,
丈	q:16,
丈二和尚摸不着头脑	l:3,
丈夫	n:277,
丈母娘	n:2,
丈量	v:2,
三	b:1,nr:5,m:6486,
三·一五	m:3,
三·一八	t:1,
三○九	m:1,
三一	m:1,
三一五	m:9,
三丁锡	n:1,
三七	n:1,
三七节	t:1,
三万	m:32,
三万一千七百五十二亿	m:1,
三万一千三百八十五	m:1,
三万两千	m:1,
三万四千八百亿	m:1,
三万零二百二十	m:1,
三三	m:4,
三三○三	m:1,
三三一	m:1,
三三三	m:1,
三三两两	i:19,
三三五五	m:1,
三三制	j:3,n:6,
三三四	m:1,
三下五除二	l:1,
三不	j:10,
三不主义	j:1,
三不做	j:2,
三不准	j:2,
三不变	j:1,
三不用	j:1,
三业	j:1,
三两	m:8,
三两千	m:1,
三两百	m:1,
三严	j:2,
三严四自	j:2,
三个一	j:2,
三个之最	j:1,
三个指头捏田螺	l:1,
三中	j:4,
三中全会	j:263,
三丰	nr:1,nz:2,
三为主	j:3,
三主一支持	j:1,
三义墓	ns:2,
三义庙	ns:1,
三乙醇胺	n:1,
三九	t:8,nz:8,m:1,
三九天	t:3,
三乱	j:50,
三二	m:1,
三二○	m:1,
三二四	m:1,
三二联防	l:1,
三五	m:40,
三五○九	m:1,
三五三六	m:1,
三五九旅	nt:3,
三五八	m:1,
三五十	m:4,
三五十万	m:1,
三五成群	l:11,
三五百	m:1,
三井	nz:1,
三亚	ns:29,
三亚市	ns:17,
三产	j:33,
三产型	n:1,
三亿	m:9,
三亿二千万	m:1,
三从一大	j:1,
三从四德	i:1,
三仙姑	n:1,
三仙村	ns:1,
三仙湖镇	ns:2,
三令五申	i:20,
三伏	t:1,
三伏天	t:2,
三优	j:16,
三伯	n:1,
三位一体	l:33,
三低	j:1,
三保地	j:1,
三倍体	n:1,
三元	b:1,nr:1,j:1,nz:4,
三元朱村	ns:1,
三元杂交	l:1,
三元桥	n:1,
三元里	ns:2,
三元镇	ns:1,
三光	j:2,
三光政策	nz:1,
三八	t:44,nz:1,m:2,
三八六	m:1,
三八节	t:1,
三公	j:2,
三公开	j:4,
三六七	m:2,
三六九	m:2,
三六九等	l:4,
三六八	m:1,
三兰	nr:1,
三关	nz:2,
三养	j:2,
三军	n:7,
三军医大	j:1,
三军团	n:3,
三军思奋	l:2,
三农	nz:1,
三冠	nz:1,
三几	m:1,
三分之一	m:21,
三分之二	m:6,
三分制	n:1,
三分王	n:1,
三分球	n:31,
三利	nz:3,
三制	j:16,
三制一体	j:1,
三剑客	n:6,
三力	j:2,nz:2,
三加大	j:1,
三包	j:23,
三化	j:1,
三北	j:15,
三十	m:205,
三十一	m:16,
三十一万零五百七十	m:1,
三十一日	t:32,
三十一点八万	m:1,
三十七	m:11,
三十七万	m:2,
三十七分	t:2,
三十万	m:27,
三十万零三千五百一十九	m:1,
三十三	m:10,
三十三万	m:1,
三十三亿	m:1,
三十三分	t:1,
三十三点二万	m:1,
三十九	m:10,
三十九万	m:1,
三十九亿	m:1,
三十九点五	m:1,
三十二	m:24,
三十二万	m:1,
三十二亿	m:1,
三十二分三十	m:1,
三十二分三十九	m:1,
三十二分三十二	m:1,
三十五	m:36,
三十五万	m:6,
三十五亿	m:1,
三十五分	t:1,
三十亿	m:5,
三十八	m:15,
三十八九	m:1,
三十八亿	m:1,
三十八分	t:1,
三十六	m:32,
三十六万	m:1,
三十六亿	m:1,
三十六点九亿	m:1,
三十几	m:6,
三十分	t:7,
三十四	m:18,
三十日	t:53,
三千	m:72,
三千一百	m:1,
三千一百二十五	m:1,
三千一百八十	m:1,
三千七百	m:1,
三千七百七十八	m:1,
三千七百三十三	m:1,
三千七百三十五	m:1,
三千七百零二	m:1,
三千万	m:11,
三千三百零五	m:1,
三千九百	m:1,
三千九百三十二点零二	m:1,
三千二百	m:2,
三千二百一十	m:1,
三千二百五十一亿	m:1,
三千二百五十亿	m:1,
三千五百	m:6,
三千五百一十	m:1,
三千五百万	m:1,
三千五百六十	m:1,
三千亿	m:1,
三千八百	m:3,
三千八百一十九点一四亿	m:1,
三千八百万	m:1,
三千八百八十万	m:1,
三千六百	m:2,
三千六百七十一	m:2,
三千四百万	m:1,
三千四百二十五	m:1,
三千四百五十六	m:1,
三千四百八十二	m:1,
三千零九十三	m:1,
三千零五十	m:1,
三协精机	n:1,
三单	j:1,
三博	nr:7,
三危	ns:1,
三危山	ns:1,
三原	ns:6,
三原县	ns:2,
三又四分之三	m:1,
三叉神经痛	n:2,
三友	nz:2,
三反	j:1,
三反五反	j:1,
三变	j:1,
三叠纪	t:1,
三可	nr:1,
三台县	ns:1,
三台山	ns:3,
三台山乡	ns:3,
三台村	ns:6,
三叶	nz:10,
三叶人	n:2,
三叶形虫	n:1,
三合一	v:1,vn:1,l:2,
三合堡村	ns:1,
三同	j:3,
三吐	n:1,
三味	nz:1,n:1,
三和	nz:8,
三品	j:1,
三喜	nr:2,
三四	m:55,
三四万	m:3,
三四十	m:23,
三四十万	m:3,
三四千	m:7,
三四千万	m:1,
三四季度	t:1,
三四月	t:2,
三四月份	t:2,
三四点钟	t:2,
三四百	m:6,
三四百万	m:1,
三国	t:12,nr:1,nz:9,
三国志	nz:7,n:2,
三国演义	nz:22,
三圣庙村	ns:1,
三圣桥	ns:1,
三坊七巷	nz:2,
三城	j:1,
三基	j:1,
三塑	nz:1,
三塔	ns:3,
三塔集镇	ns:1,
三塘	ns:8,
三塘乡	ns:3,
三塘村	ns:1,
三塘湖	ns:1,
三塚	nr:2,
三塚博	nr:1,
三墩营村	ns:1,
三声	j:1,
三夏	t:12,j:3,
三大	j:4,
三大战役	nz:9,
三天三夜	l:3,
三天两头	l:9,
三好	j:12,
三好生	j:2,
三姐	nr:4,
三委	j:2,
三娅	nr:1,
三娘	nr:1,
三子	n:2,
三字	j:1,
三字一话	j:2,
三字经	n:7,
三孝口	ns:1,
三季度	t:1,
三学	j:5,
三宅一生	nr:1,
三官庙	ns:1,
三官庙矿	nt:1,
三定	j:18,
三宝	nr:1,n:4,
三实	nz:1,
三审	b:1,
三审制	j:3,
三室一厅	n:2,
三寸不烂之舌	l:1,
三小	j:2,
三尸神	n:1,
三居室	n:2,
三山	nz:3,
三岔口	ns:1,n:1,
三岔路	ns:2,
三岔路口	s:1,
三岔路村	ns:3,
三峡	ns:311,
三峡人	n:1,
三峡游	n:6,
三崎町	ns:1,
三带	j:1,
三带走	j:1,
三平	nr:1,
三年期	b:28,
三庄乡	ns:1,
三庆	nr:1,
三废	j:5,n:4,
三座大山	l:7,
三座门	ns:2,
三建	j:2,
三开门	b:1,
三强	nr:1,j:1,
三彩	n:1,
三德	j:2,
三德坊	ns:1,
三志	j:1,
三怕	j:3,
三思	v:1,
三思而后行	i:3,
三性	j:4,
三总部	j:24,
三愿	j:3,
三慧	nr:1,
三懂	j:1,
三成	nr:1,
三房巷	ns:1,
三手	b:1,
三抗	nz:1,
三挂钩	j:1,
三提五统	j:2,
三提高	j:2,
三插溪	ns:1,
三改	j:4,
三改一加强	j:7,
三放一联	j:1,
三效	nz:1,
三教	j:2,
三教九流	i:2,
三教堂	ns:1,
三文鱼	nz:1,n:2,
三方	n:1,
三无	j:4,
三日	t:54,
三旱	j:1,
三明	ns:1,
三明市	ns:3,
三明治	nz:1,n:3,
三明路	ns:1,
三星	nz:28,n:7,
三星村	ns:4,
三星级	b:7,
三星队	nt:8,
三昧	n:3,
三晋	j:6,
三景	nr:1,
三替	nz:3,
三月	t:246,
三月份	t:6,
三有	j:1,
三有三超	j:1,
三期	b:2,j:1,
三木	nr:3,nz:2,
三木淳大	nr:1,
三朵节	nz:1,
三机	j:1,
三机局	j:1,
三机部	j:2,
三来一补	l:7,
三板	n:1,
三板斧	n:1,
三极管	n:1,
三林	nr:2,
三查三找	j:1,
三核一派	j:1,
三案	j:1,
三桥	ns:8,
三桥村	ns:7,
三棉	j:5,
三棵树	ns:1,
三步一踏	n:1,
三步并作两步	l:1,
三段论式	b:1,
三毛	nr:33,nz:11,
三毛牌	nz:1,
三民主义	n:5,
三氯甲烷	n:2,
三水市	ns:1,
三汇镇	ns:1,
三江	ns:5,j:1,nz:2,
三江队	nt:2,
三河	ns:3,j:2,nz:2,
三河尖	ns:1,
三河市	ns:5,
三沿	j:1,
三法	j:1,
三洋	nz:4,
三洞桥	ns:6,
三流	b:3,
三消	j:1,
三清山	ns:6,
三清殿	ns:1,
三湖	j:3,
三湘	j:2,
三湘四水	j:1,
三湾	ns:1,
三溪口镇	ns:1,
三滤	n:1,
三滩乡	ns:1,
三点一	m:1,
三点一万	m:1,
三点七二亿	m:1,
三点三万	m:2,
三点二万	m:1,
三点二三亿	m:1,
三点五	m:2,
三点五万	m:1,
三点五亿	m:1,
三点八	m:1,
三点八七万	m:1,
三点八万	m:1,
三点八六	m:1,
三点六	m:1,
三点六四亿	m:1,
三点四亿	m:1,
三点钟	t:1,
三热	j:1,
三热爱	j:3,
三猛	nr:3,
三环	ns:8,nz:1,
三环桥	ns:1,
三环路	ns:5,n:1,
三班倒	l:1,
三生	nz:2,
三生有幸	i:1,
三田	j:1,
三甲	j:1,
三电	j:2,
三电办	j:2,
三番五次	i:6,
三百	m:56,
三百一十	m:1,
三百一十三	m:1,
三百一十四	m:1,
三百七十	m:1,
三百七十七	m:1,
三百七十九	m:1,
三百七十六	m:1,
三百万	m:10,
三百三十	m:3,
三百三十七	m:1,
三百三十三	m:1,
三百三十三点九○	m:1,
三百三十五	m:1,
三百九十	m:1,
三百九十万分之一	m:1,
三百九十二万	m:1,
三百九十五	m:1,
三百二十	m:1,
三百二十万	m:1,
三百二十三	m:1,
三百二十九	m:1,
三百二十二	m:1,
三百二十五	m:1,
三百二十八	m:1,
三百二十六	m:1,
三百五十	m:5,
三百五十万	m:6,
三百五十三	m:1,
三百五十二	m:1,
三百五十五亿	m:2,
三百五十亿	m:1,
三百五十八	m:1,
三百亿	m:2,
三百八十万	m:2,
三百八十三	m:1,
三百八十九	m:1,
三百八十二	m:1,
三百八十八	m:1,
三百八十六	m:1,
三百六十	m:7,
三百六十七	m:1,
三百六十二	m:1,
三百六十五	m:3,
三百四十	m:2,
三百四十九	m:1,
三百四十九亿	m:2,
三百四十二	m:1,
三百四十五	m:1,
三百四十亿	m:1,
三百四十八亿	m:1,
三百零一	m:1,
三百零七万	m:2,
三百零三	m:1,
三百零二	m:1,
三皇	n:2,
三皇五帝	l:1,
三益	nr:2,
三盖沟村	ns:2,
三盛公	nz:1,
三盲	j:1,
三相	b:1,
三破	j:1,
三确保	j:1,
三禁	j:4,
三秦	ns:2,j:1,
三立	nr:3,
三等	b:7,
三等功	n:28,
三等奖	n:44,
三等舱	n:1,
三类	b:13,
三级	b:66,
三纲五常	i:2,
三纵两横	j:2,
三线	j:4,
三绒	nz:1,
三结合	j:19,
三绝	j:1,
三统一包	j:1,
三维	nz:3,m:19,n:1,
三缄其口	i:1,
三缺一	l:1,
三网	j:1,
三网一榜	j:2,n:1,
三美	nz:3,
三老四严	j:1,
三者	r:40,
三联	nz:28,
三联单	n:1,
三育人	j:1,
三胞胎	n:2,
三能	j:4,
三脚架	n:3,
三自	j:6,
三自一包	j:1,
三色旗	n:1,
三花接骨散	n:2,
三苯锡	n:1,
三茂	nz:1,
三荒	j:2,
三莉	nr:1,
三菱	nz:28,
三营	ns:1,
三落实	j:4,
三藏	n:1,
三西	j:3,
三要	j:1,
三观	j:1,
三角	n:8,
三角债	l:1,n:4,
三角函数	l:1,
三角区	n:1,
三角帆	n:1,
三角形	n:11,
三角恋	n:1,
三角村	ns:2,
三角洲	n:77,
三角蚌	n:1,
三角镇	ns:1,
三言两语	i:2,
三讲	j:2,
三论	j:1,
三证	j:5,
三证一单	j:1,
三评	j:1,
三评一考	j:4,
三贤	nz:1,
三贤祠	ns:3,
三贵	nr:1,
三费一款	j:1,
三资	j:24,
三资企业	n:32,
三走	j:5,
三越	nz:1,
三足乌	n:1,
三足鼎立	i:5,
三跑田	n:1,
三轮	b:1,n:6,
三轮摩托	n:1,
三轮车	n:65,
三辰	nz:2,
三边	j:1,
三边四荒	j:1,
三运	nr:6,
三连冠	j:2,l:2,
三连动	j:1,
三连胜	j:1,
三连败	j:1,
三迭纪	t:1,
三送	j:1,
三通	j:40,
三道河子	ns:1,
三郎	nr:1,
三部曲	n:18,
三都镇	ns:1,
三配套	j:1,
三里屯	ns:6,
三里河	ns:1,
三重奏	v:1,
三野	j:3,
三金奖	n:1,
三镇	j:1,
三长两短	i:1,
三门	ns:3,
三门县	ns:1,
三门峡	ns:7,
三门峡市	ns:5,
三门村	ns:1,
三门河乡	ns:1,
三闾大夫	i:6,
三阳	nr:2,ns:1,
三陪	j:9,
三隐潭	ns:1,
三难	j:1,
三集中	j:1,
三露	nz:2,
三青团	j:3,
三面红旗	n:2,
三顾茅庐	i:2,
三风	j:2,
三马林达	ns:1,
三高	j:13,nz:3,
三高队	nt:7,
三鸣	nr:1,nz:1,
三鹤村	ns:1,
三鹤洞社	ns:1,
三鹿	nz:2,
三黄	nz:1,
三黄消渴片	n:2,
三黄鸡	n:1,
三黑一塌	j:1,
三Ｋ党	n:1,
三Ｔ	nz:1,
上	u:1,f:18574,v:3947,Ng:5,j:8,n:1,
上一年	t:47,
上万	m:97,
上万亿	m:2,
上上	v:1,
上上下下	z:1,l:34,
上下	f:127,v:7,vn:3,m:23,n:83,
上下一心	l:9,
上下半场	j:3,
上下卷	j:2,
上下学	j:11,
上下左右	l:1,
上下文	n:1,
上下水	n:1,
上下水道	j:2,
上下游	f:6,j:10,
上下班	vn:3,j:17,
上下级	b:3,j:1,n:7,
上下联动	v:2,
上下肢	j:1,
上下议院	j:2,
上下课	j:1,
上下车	j:4,
上下齐心	i:1,
上个月	t:27,
上中下游	f:2,
上中旬	t:1,j:1,
上中游	j:9,
上乘	a:1,z:15,
上书	v:13,vn:1,
上交	v:70,vn:5,
上交所	j:7,
上交款	n:1,
上人	n:2,
上亿	m:37,
上付村	ns:1,
上代	n:1,
上代人	n:1,
上任	v:137,
上会	v:1,
上传下达	i:1,l:1,
上位	b:1,
上佳	a:9,b:1,
上供	v:1,
上元	nr:1,
上元节	t:1,
上光	v:1,
上党	ns:1,
上册	n:3,
上冶镇	ns:1,
上列	b:1,
上前	v:62,
上勤	v:1,
上千	m:117,
上千万	m:29,
上千亿	m:5,
上升	v:548,vn:100,
上升期	n:3,
上升村	ns:1,
上升流	n:1,
上升股	n:4,
上升调	n:1,
上午	t:1010,
上半	f:1,
上半叶	t:7,
上半场	n:87,
上半夜	t:1,
上半年	t:120,
上半年度	n:1,
上半时	t:26,
上半期	t:3,
上卷	n:2,
上去	v:149,
上口	a:1,
上古	t:4,
上台	v:70,vn:2,
上司	n:6,
上吊	v:2,
上吐下泻	l:1,
上告	v:4,
上告人	n:1,
上告信	n:3,
上周	t:269,
上周一	t:1,
上周三	t:3,
上周二	t:1,
上周五	t:2,
上周四	t:2,
上周日	t:2,
上周末	t:14,
上品	n:2,
上固乡	ns:1,
上国村	ns:2,
上图	n:7,
上地	ns:2,
上场	v:77,vn:6,
上坂	ns:1,
上坟	v:4,
上坡	v:1,
上坡路	n:1,
上坪	ns:5,
上士	n:1,
上天	v:6,n:4,
上头	f:9,
上套者	n:1,
上好	a:1,b:12,
上学	v:184,vn:13,
上官	nr:1,
上家	n:1,
上宾	n:3,
上将	n:180,
上尉	n:10,
上层	f:41,n:1,
上层建筑	l:37,
上届	b:114,n:1,
上山	v:35,vn:1,
上山下乡	l:28,
上岗	v:276,vn:36,
上岗制	n:1,
上岗率	n:1,
上岗者	n:1,
上岗证	n:3,
上岗费	n:1,
上岩洞	ns:1,
上岸	v:13,vn:1,
上峰	n:1,
上工	vn:3,
上市	v:286,vn:243,
上市户	n:1,
上市量	n:1,
上帝	n:47,
上帝观	n:1,
上年	t:621,
上年底	t:2,
上年末	t:1,
上年纪	v:2,
上广电	nz:1,
上庠	n:2,
上座	n:1,
上座率	n:13,
上座部	n:1,
上当	v:38,
上当者	n:1,
上影	j:1,
上影线	n:2,
上得快	v:1,
上心	a:3,
上情	n:1,
上手	v:4,vd:1,
上打	vn:5,
上扬	v:49,vn:3,
上报	v:54,vn:5,
上挂下联	l:1,
上排	n:2,
